genome_id,gene_symbol,element_type,element_subtype,class,subclass,pct_coverage,pct_identity
72407.1437,tet(A),AMR,AMR,TETRACYCLINE,TETRACYCLINE,,
72407.1437,aac(6')-Ib-cr5,AMR,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,,
72407.1437,blaOXA-1,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1437,catB3,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.1437,blaCTX-M-15,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1437,aadA2,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,,
72407.1437,dfrA8,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,,
72407.1437,arsR,STRESS,METAL,ARSENIC,ARSENIC,,
72407.1437,arsD,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1437,arsA,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1437,arsB,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1437,arsC,STRESS,METAL,ARSENIC,ARSENATE,,
72407.1437,pcoE,STRESS,METAL,COPPER,COPPER,,
72407.1437,pcoS,STRESS,METAL,COPPER,COPPER,,
72407.1437,pcoR,STRESS,METAL,COPPER,COPPER,,
72407.1437,pcoD,STRESS,METAL,COPPER,COPPER,,
72407.1437,pcoC,STRESS,METAL,COPPER,COPPER,,
72407.1437,pcoB,STRESS,METAL,COPPER,COPPER,,
72407.1437,pcoA,STRESS,METAL,COPPER,COPPER,,
72407.1437,silP,STRESS,METAL,SILVER,SILVER,,
72407.1437,silA,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1437,silB,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1437,silF,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1437,silC,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1437,silR,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1437,silS,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1437,silE,STRESS,METAL,SILVER,SILVER,,
72407.1438,emrD,AMR,AMR,EFFLUX,EFFLUX,,
72407.1438,parC_S80I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1438,oqxB,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1438,oqxA,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1438,gyrA_S83I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1438,ompK36_N115insTer8,AMR,POINT_DISRUPT,BETA-LACTAM,CARBAPENEM,,
72407.1438,blaSHV-11,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1438,ramR_R46VfsTer49,AMR,POINT_DISRUPT,MULTIDRUG,CHLORAMPHENICOL/FLUOROQUINOLONE/TEMOCILLIN/TETRACYCLINE/TIGECYCLINE,,
72407.1438,fosA,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,,
72407.1438,fieF,STRESS,METAL,,,,
72407.1438,blaKPC-2,AMR,AMR,BETA-LACTAM,CARBAPENEM,,
72407.1438,hsp20,STRESS,HEAT,,,,
72407.1438,clpK,STRESS,HEAT,,,,
72407.1438,mph(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.1438,mrx(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.1438,aadA2,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,,
72407.1438,sul1,AMR,AMR,SULFONAMIDE,SULFONAMIDE,,
72407.1438,qacEdelta1,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1438,dfrA8,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,,
72407.1438,dfrA30,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,,
72407.1438,qacE,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1438,catA1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.1438,blaCTX-M-15,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1438,catB3,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.1438,blaOXA-1,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1438,aac(6')-Ib-cr5,AMR,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,,
72407.1438,aph(3')-Ia,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,,
72407.1438,silE,STRESS,METAL,SILVER,SILVER,,
72407.1438,silS,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1438,silR,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1438,silC,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1438,silF,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1438,silB,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1438,silA,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1438,silP,STRESS,METAL,SILVER,SILVER,,
72407.1438,pcoA,STRESS,METAL,COPPER,COPPER,,
72407.1438,pcoB,STRESS,METAL,COPPER,COPPER,,
72407.1438,pcoC,STRESS,METAL,COPPER,COPPER,,
72407.1438,pcoD,STRESS,METAL,COPPER,COPPER,,
72407.1438,pcoR,STRESS,METAL,COPPER,COPPER,,
72407.1438,pcoS,STRESS,METAL,COPPER,COPPER,,
72407.1438,pcoE,STRESS,METAL,COPPER,COPPER,,
72407.1438,arsC,STRESS,METAL,ARSENIC,ARSENATE,,
72407.1438,arsB,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1438,arsA,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1438,arsD,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1438,arsR,STRESS,METAL,ARSENIC,ARSENIC,,
72407.1438,tet(A),AMR,AMR,TETRACYCLINE,TETRACYCLINE,,
72407.1439,fieF,STRESS,METAL,,,,
72407.1439,fosA,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,,
72407.1439,ramR_W95Ter,AMR,POINT_DISRUPT,MULTIDRUG,CHLORAMPHENICOL/FLUOROQUINOLONE/TEMOCILLIN/TETRACYCLINE/TIGECYCLINE,,
72407.1439,blaSHV-11,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1439,gyrA_S83I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1439,oqxA,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1439,oqxB,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1439,parC_S80I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1439,emrD,AMR,AMR,EFFLUX,EFFLUX,,
72407.1439,tet(A),AMR,AMR,TETRACYCLINE,TETRACYCLINE,,
72407.1439,dfrA30,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,,
72407.1439,qacE,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1439,blaTEM-1,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1439,aac(3)-IId,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,,
72407.1439,blaCTX-M-15,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1439,catB3,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.1439,blaOXA-1,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1439,aac(6')-Ib-cr5,AMR,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,,
72407.1439,qnrB1,AMR,AMR,QUINOLONE,QUINOLONE,,
72407.1439,tet(D),AMR,AMR,TETRACYCLINE,TETRACYCLINE,,
72407.1439,aph(3')-Ia,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,,
72407.1439,mph(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.1439,mrx(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.1439,sul1,AMR,AMR,SULFONAMIDE,SULFONAMIDE,,
72407.1439,qacEdelta1,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1439,silE,STRESS,METAL,SILVER,SILVER,,
72407.1439,silS,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1439,silR,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1439,silC,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1439,silF,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1439,silB,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1439,silA,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1439,silP,STRESS,METAL,SILVER,SILVER,,
72407.1439,pcoA,STRESS,METAL,COPPER,COPPER,,
72407.1439,pcoB,STRESS,METAL,COPPER,COPPER,,
72407.1439,pcoC,STRESS,METAL,COPPER,COPPER,,
72407.1439,pcoD,STRESS,METAL,COPPER,COPPER,,
72407.1439,pcoR,STRESS,METAL,COPPER,COPPER,,
72407.1439,pcoS,STRESS,METAL,COPPER,COPPER,,
72407.1439,pcoE,STRESS,METAL,COPPER,COPPER,,
72407.1439,arsC,STRESS,METAL,ARSENIC,ARSENATE,,
72407.1439,arsB,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1439,arsA,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1439,arsD,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1439,arsR,STRESS,METAL,ARSENIC,ARSENIC,,
72407.1439,clpK,STRESS,HEAT,,,,
72407.1439,hsp20,STRESS,HEAT,,,,
72407.1439,qacE,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1439,blaKPC-2,AMR,AMR,BETA-LACTAM,CARBAPENEM,,
72407.1440,fieF,STRESS,METAL,,,,
72407.1440,ramR_W95Ter,AMR,POINT_DISRUPT,MULTIDRUG,CHLORAMPHENICOL/FLUOROQUINOLONE/TEMOCILLIN/TETRACYCLINE/TIGECYCLINE,,
72407.1440,blaCTX-M-15,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1440,blaSHV-11,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1440,gyrA_S83I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1440,oqxA,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1440,oqxB,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.1440,parC_S80I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.1440,emrD,AMR,AMR,EFFLUX,EFFLUX,,
72407.1440,aac(3)-IId,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,,
72407.1440,blaTEM-1,AMR,AMR,BETA-LACTAM,BETA-LACTAM,,
72407.1440,blaKPC-2,AMR,AMR,BETA-LACTAM,CARBAPENEM,,
72407.1440,tet(A),AMR,AMR,TETRACYCLINE,TETRACYCLINE,,
72407.1440,tet(D),AMR,AMR,TETRACYCLINE,TETRACYCLINE,,
72407.1440,aac(6')-Ib-cr5,AMR,AMR,AMINOGLYCOSIDE/QUINOLONE,AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN,,
72407.1440,blaOXA-1,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1440,catB3,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.1440,mph(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.1440,mrx(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.1440,sul1,AMR,AMR,SULFONAMIDE,SULFONAMIDE,,
72407.1440,qacEdelta1,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1440,hsp20,STRESS,HEAT,,,,
72407.1440,clpK,STRESS,HEAT,,,,
72407.1440,arsR,STRESS,METAL,ARSENIC,ARSENIC,,
72407.1440,arsD,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1440,arsA,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1440,arsB,STRESS,METAL,ARSENIC,ARSENITE,,
72407.1440,arsC,STRESS,METAL,ARSENIC,ARSENATE,,
72407.1440,pcoE,STRESS,METAL,COPPER,COPPER,,
72407.1440,pcoS,STRESS,METAL,COPPER,COPPER,,
72407.1440,pcoR,STRESS,METAL,COPPER,COPPER,,
72407.1440,pcoD,STRESS,METAL,COPPER,COPPER,,
72407.1440,pcoC,STRESS,METAL,COPPER,COPPER,,
72407.1440,pcoB,STRESS,METAL,COPPER,COPPER,,
72407.1440,pcoA,STRESS,METAL,COPPER,COPPER,,
72407.1440,silP,STRESS,METAL,SILVER,SILVER,,
72407.1440,silA,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1440,silB,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1440,silF,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1440,silC,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1440,silR,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1440,silS,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.1440,silE,STRESS,METAL,SILVER,SILVER,,
72407.1440,blaCTX-M-15,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,,
72407.1440,dfrA30,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,,
72407.1440,qacE,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.1440,aph(3')-Ia,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,,
72407.1440,qacE,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
72407.148,oqxA,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.148,oqxB,AMR,AMR,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,,
72407.148,parC_S80I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.148,gyrA_S83I,AMR,POINT,QUINOLONE,QUINOLONE,,
72407.148,fosA,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,,
72407.148,ybtQ,VIRULENCE,VIRULENCE,,,,
72407.148,ybtP,VIRULENCE,VIRULENCE,,,,
72407.148,clbN,VIRULENCE,VIRULENCE,,,,
72407.148,clbB,VIRULENCE,VIRULENCE,,,,
72407.148,ompK35_E42RfsTer47,AMR,POINT_DISRUPT,BETA-LACTAM,CARBAPENEM,,
72407.148,emrD,AMR,AMR,EFFLUX,EFFLUX,,
72407.148,fieF,STRESS,METAL,,,,
72407.148,silE,STRESS,METAL,SILVER,SILVER,,
72407.148,silS,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.148,silR,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.148,silC,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.148,silF,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.148,silB,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.148,silA,STRESS,METAL,COPPER/SILVER,COPPER/SILVER,,
72407.148,silP,STRESS,METAL,SILVER,SILVER,,
72407.148,pcoA,STRESS,METAL,COPPER,COPPER,,
72407.148,pcoB,STRESS,METAL,COPPER,COPPER,,
72407.148,pcoC,STRESS,METAL,COPPER,COPPER,,
72407.148,pcoD,STRESS,METAL,COPPER,COPPER,,
72407.148,pcoR,STRESS,METAL,COPPER,COPPER,,
72407.148,pcoS,STRESS,METAL,COPPER,COPPER,,
72407.148,pcoE,STRESS,METAL,COPPER,COPPER,,
72407.148,arsC,STRESS,METAL,ARSENIC,ARSENATE,,
72407.148,arsB,STRESS,METAL,ARSENIC,ARSENITE,,
72407.148,arsA,STRESS,METAL,ARSENIC,ARSENITE,,
72407.148,arsD,STRESS,METAL,ARSENIC,ARSENITE,,
72407.148,arsR,STRESS,METAL,ARSENIC,ARSENIC,,
72407.148,clpK,STRESS,HEAT,,,,
72407.148,hsp20,STRESS,HEAT,,,,
72407.148,catA1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,,
72407.148,aac(6')-Ib,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,,
72407.148,blaSHV-12,AMR,AMR,BETA-LACTAM,CEFIDEROCOL/CEPHALOSPORIN,,
72407.148,mrx(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.148,mph(A),AMR,AMR,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN/SPIRAMYCIN/TELITHROMYCIN,,
72407.148,sul1,AMR,AMR,SULFONAMIDE,SULFONAMIDE,,
72407.148,qacEdelta1,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,,
